first_name,last_name,gender,age,registered,orders,spent,job,hobbies,is_married
Felicia,Smith,female,18,3/17/2022,20,659.44,Clerk,Singing,FALSE
Bruce,Mcknight,male,46,9/16/2018,15,681.75,Housewife,Reading,FALSE
Michael,Jarvis,male,32,7/7/2023,16,913.56,Baker,Hunting,FALSE
Megan,Christensen,female,46,9/7/2021,16,419.28,Student,Singing,TRUE
Zachary,King,male,52,7/27/2022,12,412.49,Accountant,Hiking,FALSE
Jessica,Collins,female,80,4/25/2023,13,978.45,Chef,Running,FALSE
William,Hughes,male,59,1/1/2021,19,835.41,Tailor,Swimming,FALSE
Amber,Fox,female,34,9/14/2021,20,338.99,Carpenter,Fishing,TRUE
Jeffrey,Hancock,male,31,4/8/2023,8,821.53,Mechanic,Cycling,FALSE
Nancy,Dean,female,80,5/25/2019,15,747.33,Clerk,Sewing,TRUE
Sarah,Reynolds,female,52,8/20/2019,9,671.66,Housewife,Swimming,FALSE
John,Pittman,male,80,11/17/2021,18,716.45,Mechanic,Yoga,FALSE
Joshua,Jones,male,48,4/6/2019,10,608.25,Housewife,Playing video games,FALSE
Jeffery,Robinson,male,42,2/22/2021,15,264.7,Teacher,Fishing,TRUE
Debra,Peters,female,42,10/7/2021,2,9.69,Nurse,Running,FALSE
Steven,Lewis,male,77,2/26/2019,8,588.47,Architect,Watching movies,FALSE
Denise,Thomas,female,29,4/25/2023,8,966.36,Scientist,Watching movies,FALSE
Kimberly,Garza,female,45,3/15/2021,20,895.53,Officer,Playing musical instruments,FALSE
Gerald,Rush,male,56,8/4/2020,20,973.65,Student,Playing musical instruments,TRUE
Jeffrey,Rogers,male,38,4/5/2020,2,752.59,Barber,Hiking,TRUE
Christine,Johnson,female,75,12/28/2019,1,95.37,Cashier,Gardening,FALSE
Maurice,Miller,male,52,12/7/2018,5,569.42,Waiter,Singing,FALSE
Michael,Rodriguez,male,40,4/10/2022,19,375.99,Housewife,Playing musical instruments,FALSE
Sherry,Collins,female,55,10/18/2019,17,440.46,Unemployed,Meditation,FALSE
Willie,Fernandez,male,35,5/17/2021,15,64.24,Receptionist,Painting,FALSE
Matthew,Kennedy,male,24,3/6/2023,0,435.72,Mechanic,Cycling,FALSE
Jennifer,Myers,female,35,4/17/2021,12,54.37,Polic,Running,FALSE
James,Kelly,male,31,8/10/2018,12,737.34,Waiter,Drawing,FALSE
Daniel,Paul,male,19,11/29/2019,10,142.86,Butcher,Camping,FALSE
Wesley,Moore,male,53,3/23/2019,19,408.45,Housewife,Drawing,FALSE
Francisco,Shaw,male,48,8/7/2020,4,471.87,Chef,Collecting,FALSE
James,Cobb,male,24,5/2/2022,11,809.03,Mechanic,Drawing,FALSE
Colin,Roach,male,68,6/15/2020,8,232.39,Baker,Camping,FALSE
Sarah,Cruz,female,76,4/15/2023,0,990.88,Accountant,Traveling,TRUE
Kelly,Martinez,female,74,4/15/2020,12,178.24,Farmer,Sewing,FALSE
Mary,Swanson,female,65,3/26/2019,4,300.72,Nurse,Photography,FALSE
Kimberly,Moreno,female,69,12/21/2019,8,328.06,Firefighter,Playing sports,TRUE
Andrew,Jenkins,male,33,6/9/2021,15,924.48,Receptionist,Hunting,FALSE
Amber,Ramirez,female,65,1/21/2020,10,964.41,Librarian,Photography,FALSE
Holly,Fowler,female,42,12/21/2022,16,150.4,Security Guard,Camping,FALSE
Jessica,Moore,female,44,3/22/2020,5,997.47,Officer,Watching movies,FALSE
Kimberly,Martin,female,71,12/20/2020,11,603.37,Janitor,Playing video games,FALSE
Shawn,Neal,male,65,11/23/2021,15,992.24,Pilot,Cooking,TRUE
Sarah,Garcia,female,70,3/22/2022,15,714.24,Officer,Baking,FALSE
James,Salazar,male,20,1/15/2021,20,257.39,Barber,Painting,TRUE
Kyle,Evans,male,37,9/7/2022,10,11.33,Tailor,Hunting,FALSE
John,Brown,male,35,1/13/2021,10,866.94,Lawyer,Sewing,FALSE
Stephanie,Stone,female,80,4/12/2021,14,187.47,Engineer,Swimming,FALSE
Veronica,Jones,female,74,1/25/2019,5,636.95,Architect,Baking,TRUE
Dale,Bauer,male,27,3/5/2023,4,520.19,Lawyer,Writing,FALSE
Brenda,Powell,female,35,3/11/2019,9,747.71,Carpenter,Singing,TRUE
Kelly,Sanchez,female,77,11/3/2019,2,763.83,Janitor,Baking,FALSE
Jacob,Williamson,male,73,6/2/2021,10,876.69,Engineer,Fishing,FALSE
Nicholas,Russell,male,29,8/9/2019,3,597.96,Baker,Other,TRUE
Paul,Alvarez,male,68,9/15/2019,11,766.24,Student,Painting,FALSE
Lauren,Perez,female,66,8/15/2021,16,677.74,Waiter,Other,FALSE
Rebecca,Garcia,female,51,4/15/2023,19,915.21,Scientist,Singing,FALSE
Stephanie,Richardson,female,76,11/28/2021,8,211.91,Baker,Singing,FALSE
Aaron,Bailey,male,54,9/5/2021,16,185.77,Accountant,Yoga,FALSE
Juan,Schwartz,male,73,12/22/2022,8,749.18,Waiter,Cooking,FALSE
Marc,Griffith,male,42,10/22/2019,19,6.18,Housewife,Running,FALSE
Lisa,Mclean,female,68,1/15/2023,14,141.74,Unkown,Meditation,FALSE
Rebecca,Gonzalez,female,59,6/10/2021,8,527.31,Butcher,Camping,FALSE
Michael,Tran,male,78,12/20/2020,0,663.59,Athlete,Other,FALSE
April,Cooper,female,28,1/29/2019,4,88.71,Scientist,Gardening,FALSE
John,Combs,male,34,12/14/2018,0,738.95,Officer,Writing,FALSE
Jonathan,Clark,male,46,7/22/2021,10,698.29,Waiter,Writing,FALSE
Justin,Harris,male,45,5/26/2019,14,834.16,Housewife,Drawing,FALSE
Rebecca,Rogers,female,30,8/10/2022,2,32.45,Firefighter,Writing,FALSE
Jamie,Hughes,female,47,1/4/2022,5,318.83,Carpenter,Sewing,FALSE
Melissa,Wilson,female,55,7/17/2023,8,400.23,Artist,Cycling,FALSE
Cynthia,Smith,female,21,9/17/2022,8,4.81,Butcher,Camping,TRUE
Robert,Prince,male,54,5/13/2021,20,24.43,Chef,Playing sports,FALSE
Daniel,Moore,male,64,1/1/2021,17,658.75,Polic,Cycling,FALSE
Lisa,Allen,female,20,12/6/2019,16,699.05,Security Guard,Collecting,FALSE
Julie,Hall,female,36,6/18/2022,7,814.26,Politician,Cooking,TRUE
Christopher,Perez,male,62,6/24/2021,16,680.1,Clerk,Sewing,FALSE
Steven,Castillo,male,67,12/31/2019,19,232.94,Waitress,Watching movies,FALSE
Michael,Wood,male,24,2/3/2020,19,289.93,Pilot,Collecting,FALSE
Amanda,Davis,female,32,3/1/2020,13,391.86,Politician,Reading,FALSE
Raymond,Miles,male,59,10/27/2018,5,0.49,Unemployed,Watching movies,TRUE
Eric,Bender,male,80,3/11/2022,15,433.64,Janitor,Collecting,FALSE
Daniel,Orozco,male,73,7/27/2021,19,341.76,Waitress,Swimming,FALSE
Jane,Pineda,female,28,3/22/2020,6,262.81,Artist,Cycling,FALSE
Benjamin,Payne,male,41,3/27/2020,11,784.4,Officer,Photography,FALSE
Jennifer,Mcfarland,female,23,2/7/2019,9,688.56,Hairdresser,Other,TRUE
Rebecca,Wilson,female,20,7/2/2023,2,160.13,Doctor,Playing musical instruments,TRUE
Elizabeth,Jennings,female,34,12/20/2019,20,644.1,Cashier,Running,TRUE
Leslie,Thomas,female,33,1/25/2020,0,725.78,Engineer,Running,FALSE
Mark,Jones,male,48,12/5/2022,1,918.09,Farmer,Swimming,TRUE
Emma,Flores,female,37,11/24/2022,10,694.69,Baker,Watching movies,FALSE
Alex,Ramsey,male,50,6/9/2022,2,922.04,Cashier,Playing musical instruments,FALSE
Christina,Crawford,female,26,8/30/2022,10,412.27,Doctor,Gardening,FALSE
Randy,Elliott,male,28,4/24/2020,10,900.93,Dentist,Hunting,TRUE
Joshua,Edwards,male,54,10/3/2022,0,244.51,Carpenter,Running,FALSE
Clarence,Hughes,male,27,1/27/2019,14,516.98,Lawyer,Running,FALSE
Patricia,Price,female,47,1/17/2021,10,246.66,Baker,Playing musical instruments,FALSE
Shelly,Cox,female,42,2/19/2019,15,21.96,Athlete,Gardening,TRUE
Amanda,Berg,female,50,3/12/2021,4,335.59,Unkown,Gardening,TRUE
Rebecca,Duncan,female,46,5/17/2022,18,480.51,Teacher,Cooking,FALSE
Olivia,Rush,female,31,8/30/2022,15,405.56,Barber,Dancing,FALSE
Carrie,Hanson,female,71,5/15/2019,8,938.19,Doctor,Yoga,TRUE
David,Evans,male,30,4/7/2020,13,433.82,Hairdresser,Baking,FALSE
Sabrina,Hayes,female,36,3/6/2022,1,689.95,Artist,Meditation,FALSE
Jeffery,Peterson,male,50,1/22/2021,12,511.03,Artist,Playing video games,FALSE
Sheryl,Keith,female,30,6/19/2021,9,369.57,Housewife,Cycling,FALSE
Andrew,Palmer,male,33,3/17/2019,17,78.5,Polic,Playing musical instruments,FALSE
Wendy,Scott,female,19,5/5/2019,0,259.33,Receptionist,Drawing,TRUE
Thomas,Juarez,male,27,9/5/2022,9,608.3,Architect,Meditation,TRUE
John,Lewis,male,57,12/17/2021,0,534.19,Hairdresser,Painting,FALSE
Kyle,Collins,male,39,4/4/2023,4,233.1,Engineer,Swimming,FALSE
Kevin,Sellers,male,55,2/12/2019,11,500.69,Lawyer,Yoga,TRUE
Courtney,Mueller,female,44,6/12/2023,7,436.41,Housewife,Yoga,TRUE
Sara,Strickland,female,56,10/9/2019,15,233.62,Polic,Writing,FALSE
Julie,Martinez,female,50,7/6/2023,3,706.94,Artist,Photography,FALSE
Sean,Williams,male,78,7/6/2019,6,211.74,Unemployed,Swimming,FALSE
Kayla,Gould,female,49,12/5/2022,16,658.94,Baker,Painting,FALSE
Taylor,Marshall,female,33,4/23/2023,20,151.46,Accountant,Gardening,FALSE
Amber,Wallace,female,38,10/12/2018,14,258.36,Clerk,Drawing,FALSE
Robert,Cook,male,69,9/3/2020,10,565.01,Pilot,Playing video games,FALSE
Crystal,Palmer,female,68,3/14/2020,17,613.37,Cashier,Other,TRUE
Anthony,King,male,70,8/16/2018,12,364.45,Doctor,Playing video games,TRUE
Michael,Browning,male,29,4/3/2021,19,656.13,Tailor,Playing sports,FALSE
Derrick,Berry,male,24,1/25/2022,7,125.27,Librarian,Cooking,TRUE
Kelly,Brown,female,49,5/21/2022,18,109.9,Polic,Yoga,FALSE
Alicia,Rosales,female,32,3/1/2020,17,176.07,Receptionist,Other,FALSE
Eric,Rogers,male,18,2/22/2020,7,352.67,Farmer,Gardening,TRUE
Mark,Chandler,male,33,11/3/2018,10,94.46,Firefighter,Other,FALSE
Jacob,Calderon,male,67,11/26/2020,14,160.85,Firefighter,Traveling,FALSE
Jonathan,Turner,male,31,4/7/2023,19,398.01,Teacher,Watching movies,FALSE
Vanessa,Little,female,21,3/3/2019,20,852.85,Barber,Playing sports,TRUE
Michael,Gonzales,male,75,12/12/2019,20,631.01,Cashier,Drawing,TRUE
Lori,Morrow,female,22,2/2/2021,16,439.88,Doctor,Cooking,TRUE
Taylor,Wagner,female,64,8/26/2022,8,841.53,Unkown,Collecting,FALSE
Tanya,Martinez,female,32,3/16/2019,19,21.63,Baker,Playing musical instruments,FALSE
Kimberly,Weaver,female,29,8/3/2018,20,232.15,Barber,Fishing,FALSE
Michael,Duncan,male,46,8/5/2022,20,774.29,Clerk,Swimming,FALSE
Suzanne,Thompson,female,76,7/25/2019,14,878.84,Student,Swimming,FALSE
Jessica,Ellis,female,70,10/16/2019,16,374.51,Waiter,Dancing,FALSE
Michael,Little,male,44,5/19/2023,18,681.94,Dentist,Running,FALSE
Anna,Wong,female,79,12/1/2019,20,351.81,Hairdresser,Traveling,TRUE
Angela,Howard,female,45,12/30/2019,4,773.59,Mechanic,Cycling,FALSE
Jack,Stephens,male,77,1/10/2020,14,282.86,Pilot,Meditation,TRUE
Dustin,Lin,male,23,1/4/2019,1,876.74,Artist,Drawing,FALSE
Kimberly,Wright,female,62,3/2/2023,11,641.67,Tailor,Collecting,FALSE
Jason,Smith,male,21,8/10/2019,8,442.53,Farmer,Cycling,TRUE
Cory,Lopez,male,65,12/15/2021,20,894.47,Chef,Baking,FALSE
Christina,Nelson,female,36,11/20/2019,18,647.07,Tailor,Swimming,TRUE
Nathaniel,Juarez,male,74,5/14/2020,1,147.86,Clerk,Baking,FALSE
Laura,Copeland,female,73,4/6/2021,8,174.95,Waiter,Hiking,TRUE
Jessica,Davis,female,24,1/11/2021,1,260.56,Butcher,Traveling,FALSE
Janice,Hughes,female,44,7/14/2020,5,320.17,Tailor,Singing,TRUE
Andrew,Jones,male,22,11/12/2018,11,526.5,Pilot,Drawing,TRUE
Andrea,Holder,female,38,10/14/2018,14,46.44,Dentist,Fishing,TRUE
Lee,Acosta,male,69,1/15/2020,1,336.16,Barber,Running,FALSE
Haley,Jones,female,56,5/1/2023,20,403.79,Farmer,Painting,FALSE
Danielle,Hunter,female,44,8/12/2022,9,886.09,Polic,Meditation,FALSE
Mark,Deleon,male,77,9/26/2020,19,211.73,Hairdresser,Fishing,FALSE
Jessica,Pham,female,50,2/3/2023,11,391.17,Lawyer,Hiking,TRUE
Marcia,Harris,female,77,8/9/2018,0,739.41,Architect,Gardening,FALSE
Peter,Johnston,male,30,8/30/2020,9,682.91,Nurse,Reading,FALSE
Heather,Hendrix,female,70,12/26/2018,1,590.61,Doctor,Other,FALSE
Betty,English,female,25,9/8/2022,2,951.85,Carpenter,Watching movies,FALSE
Eric,Ferguson,male,21,3/1/2021,13,482.89,Dentist,Traveling,FALSE
Anthony,Park,male,71,5/11/2019,5,721.76,Firefighter,Reading,FALSE
Jessica,Kim,female,62,10/11/2019,3,701.03,Barber,Running,TRUE
Todd,Garcia,male,61,3/12/2019,20,730.62,Cashier,Hunting,FALSE
Charlotte,Ward,female,67,10/4/2021,2,782.92,Unkown,Other,FALSE
Michael,Mclean,male,46,3/19/2020,2,614.11,Tailor,Painting,TRUE
Jesse,Carroll,male,77,7/15/2023,20,767.54,Unkown,Meditation,TRUE
Timothy,Brown,male,61,9/19/2021,12,661.38,Tailor,Cooking,FALSE
Anthony,Smith,male,31,12/13/2018,6,419.65,Doctor,Reading,FALSE
Denise,Rubio,female,55,2/14/2023,12,124.5,Tailor,Sewing,TRUE
Michelle,Miller,female,54,9/21/2022,5,263.28,Student,Swimming,TRUE
Michael,Fisher,male,44,6/17/2019,2,400.33,Teacher,Cycling,FALSE
Christina,Salas,female,44,6/27/2019,19,296.26,Nurse,Painting,FALSE
Kimberly,Vega,female,36,1/9/2021,6,571.9,Waiter,Playing musical instruments,FALSE
Michael,Olsen,male,69,3/12/2020,14,257.18,Doctor,Yoga,FALSE
Jason,Kennedy,male,34,8/23/2020,6,567.41,Teacher,Hunting,FALSE
Robert,Weiss,male,20,1/3/2022,6,338.21,Engineer,Drawing,FALSE
Seth,Owens,male,71,5/13/2020,10,908.26,Hairdresser,Hiking,FALSE
Jonathan,Barker,male,75,7/28/2022,0,301.94,Hairdresser,Playing sports,TRUE
Danielle,Riddle,female,67,9/11/2021,8,509.64,Accountant,Other,FALSE
Gregory,Hull,male,44,10/3/2018,1,352.53,Housewife,Meditation,TRUE
Kristen,Keith,female,74,3/20/2023,6,319.52,Politician,Hiking,FALSE
Victor,Villa,male,28,7/18/2020,12,914.47,Receptionist,Collecting,FALSE
Brian,Hill,male,20,11/27/2019,12,785.28,Mechanic,Singing,FALSE
Ashley,Dodson,female,51,10/26/2021,18,151.23,Baker,Cooking,FALSE
Andrew,Hays,male,77,12/14/2021,1,433.09,Security Guard,Drawing,TRUE
Nichole,Ochoa,female,19,6/25/2021,17,222.18,Unemployed,Writing,FALSE
James,Johnson,male,44,5/2/2022,14,121.32,Chef,Dancing,FALSE
Christian,Hernandez,male,62,10/23/2019,11,573.59,Farmer,Meditation,TRUE
Brandon,Banks,male,54,6/18/2021,2,353.73,Teacher,Playing musical instruments,FALSE
Keith,Proctor,male,23,10/6/2022,12,184.75,Architect,Singing,FALSE
Nicholas,Robinson,male,65,1/7/2023,20,913.02,Cashier,Writing,FALSE
Ashley,Morris,female,24,6/3/2020,4,474.9,Officer,Camping,TRUE
Carol,Walton,female,70,10/16/2021,20,950.33,Unemployed,Gardening,TRUE
Eugene,Burke,male,31,6/4/2019,4,88.9,Waitress,Writing,FALSE
Sheri,Fernandez,female,19,5/25/2022,6,657.09,Farmer,Playing musical instruments,FALSE
Matthew,Thomas,male,60,1/9/2023,4,623.46,Architect,Dancing,FALSE
Victor,Haynes,male,60,5/25/2023,3,150.86,Barber,Singing,FALSE
Tina,Medina,female,31,6/3/2022,4,445.15,Doctor,Playing video games,TRUE
Gabriel,Glenn,male,36,10/30/2018,15,10.29,Butcher,Painting,FALSE
Samantha,Small,female,47,11/3/2021,0,224.39,Pilot,Watching movies,FALSE
Renee,Smith,female,23,7/22/2023,0,896.52,Politician,Singing,TRUE
Brandon,Lindsey,male,57,1/31/2022,19,29.65,Dentist,Cooking,FALSE
Evan,Farrell,male,65,8/15/2022,5,857.32,Politician,Gardening,FALSE
Julie,Simon,female,70,9/23/2022,19,942.16,Baker,Reading,FALSE
Michael,Brown,male,50,11/3/2022,7,920.53,Lawyer,Playing sports,FALSE
David,Hardy,male,19,5/7/2021,13,148.72,Accountant,Gardening,TRUE
Jacob,Dixon,male,64,6/3/2023,15,41.95,Carpenter,Hunting,FALSE
Sheila,Johnson,female,54,8/25/2019,11,660.77,Firefighter,Watching movies,FALSE
Michael,Gilbert,male,39,8/18/2020,2,897.04,Baker,Swimming,FALSE
Stephen,Smith,male,64,4/3/2020,17,76.4,Butcher,Cooking,FALSE
Alvin,Andrade,male,46,10/22/2018,11,460.75,Mechanic,Singing,TRUE
Amanda,Lawson,female,18,10/8/2020,20,270.09,Pilot,Camping,TRUE
Mary,Harris,female,60,4/9/2022,12,60.97,Librarian,Reading,TRUE
Mary,Mccormick,female,43,8/31/2020,9,9.4,Nurse,Writing,TRUE
Rebecca,Murphy,female,63,5/21/2022,0,819.58,Student,Fishing,TRUE
Timothy,Patterson,male,38,11/15/2018,17,874.02,Waitress,Gardening,TRUE
Theresa,Mills,female,27,6/1/2022,13,938.92,Accountant,Dancing,FALSE
Erin,Hays,female,40,8/13/2020,0,667.35,Accountant,Traveling,FALSE
David,Wilson,male,30,6/6/2022,9,924.01,Firefighter,Cooking,TRUE
Elizabeth,Mcdonald,female,66,11/26/2018,18,948.48,Security Guard,Watching movies,TRUE
David,Cooper,male,30,9/14/2020,14,588.4,Doctor,Cycling,TRUE
Amanda,Romero,female,71,10/3/2019,9,813.22,Receptionist,Singing,TRUE
Lori,Walsh,female,66,5/25/2022,4,788.22,Mechanic,Gardening,FALSE
Maureen,Day,female,70,2/27/2022,14,644.54,Firefighter,Watching movies,FALSE
Christopher,Vincent,male,67,3/8/2019,18,30.37,Lawyer,Camping,FALSE
Christopher,Cooper,male,60,8/16/2022,5,591.75,Security Guard,Swimming,TRUE
Angela,Francis,female,26,9/19/2022,12,478.19,Hairdresser,Running,FALSE
Susan,Garcia,female,42,4/6/2021,15,796.4,Security Guard,Other,FALSE
Jeffrey,Neal,male,78,8/30/2020,14,904.42,Waitress,Running,FALSE
Rodney,Sutton,male,29,5/29/2022,15,159.15,Janitor,Playing musical instruments,FALSE
Ashley,Boyle,female,43,7/17/2022,17,277.52,Cashier,Fishing,FALSE
Victor,Jimenez,male,29,10/17/2021,1,356.33,Student,Writing,TRUE
Jonathan,Wright,male,48,6/5/2019,8,540.82,Mechanic,Cooking,FALSE
Kristina,Holland,female,42,8/8/2021,13,586.41,Dentist,Singing,FALSE
Barbara,Flowers,female,19,4/1/2022,4,345.97,Lawyer,Painting,FALSE
Brandon,Villarreal,male,54,10/16/2022,17,388.45,Barber,Cooking,FALSE
Nathan,Pena,male,46,11/19/2020,10,954.2,Butcher,Swimming,FALSE
Melissa,Parker,female,69,1/24/2023,6,252.06,Doctor,Playing video games,FALSE
Rebecca,Kline,female,22,12/31/2020,3,982.12,Receptionist,Reading,FALSE
Susan,Navarro,female,48,8/24/2021,12,264.68,Receptionist,Cycling,FALSE
Albert,Ruiz,male,28,6/2/2023,13,271.58,Architect,Photography,FALSE
Breanna,Marsh,female,28,9/5/2022,1,357.68,Receptionist,Singing,TRUE
Mary,Perkins,female,71,3/28/2023,4,797.9,Dentist,Meditation,FALSE
Amber,Rivera,female,42,8/23/2018,4,346.3,Pilot,Other,FALSE
Joseph,Petersen,male,77,8/1/2021,18,3.46,Officer,Yoga,FALSE
Richard,Williams,male,31,2/17/2020,6,366.26,Lawyer,Hiking,FALSE
Bradley,Mccann,male,22,3/29/2022,10,273.91,Unkown,Traveling,FALSE
Kristine,Reynolds,female,31,2/2/2023,9,36.06,Housewife,Camping,FALSE
Jessica,Cox,female,40,1/11/2019,3,837.34,Officer,Other,FALSE
John,Frazier,male,56,11/24/2022,4,984.99,Janitor,Playing musical instruments,TRUE
Jordan,Anderson,male,56,10/7/2018,5,166.4,Politician,Cooking,FALSE
Geoffrey,Rogers,male,35,2/7/2021,6,664.2,Dentist,Writing,FALSE
Jessica,Smith,female,31,7/18/2019,3,229.3,Unkown,Drawing,TRUE
Julie,Rogers,female,71,4/3/2020,5,439.82,Accountant,Reading,TRUE
Teresa,Gallagher,female,50,12/30/2018,13,400.53,Security Guard,Cooking,FALSE
Kenneth,Young,male,43,12/15/2019,10,784.84,Lawyer,Playing musical instruments,FALSE
Marissa,Hall,female,64,4/25/2021,1,634.37,Artist,Other,FALSE
Manuel,Fletcher,male,42,12/23/2021,10,808.25,Cashier,Running,TRUE
Brian,Wilkinson,male,29,10/4/2020,8,972.26,Unemployed,Baking,FALSE
Richard,Lopez,male,54,12/27/2018,16,224.02,Mechanic,Traveling,FALSE
Jacqueline,Smith,female,67,9/29/2022,15,960.17,Chef,Collecting,FALSE
Claire,Wilson,female,24,10/23/2020,10,881.1,Lawyer,Dancing,TRUE
Jacob,Walker,male,55,11/12/2018,16,652.14,Dentist,Other,FALSE
Paula,Stone,female,46,7/26/2021,6,316.38,Unkown,Gardening,TRUE
John,White,male,30,5/27/2022,1,407.58,Cashier,Painting,FALSE
Melissa,Miller,female,78,9/30/2022,4,788.15,Athlete,Photography,TRUE
Brandon,Rodriguez,male,58,12/3/2020,9,996.53,Student,Other,FALSE
Mark,Butler,male,55,7/4/2020,15,447.51,Teacher,Fishing,FALSE
Joshua,Greene,male,35,10/4/2020,11,858.56,Architect,Hunting,FALSE
Mikayla,Arnold,female,78,11/12/2019,17,365.26,Cashier,Singing,FALSE
Lauren,Salazar,female,53,1/18/2019,9,429.15,Janitor,Hunting,TRUE
Jennifer,Anderson,female,47,4/28/2021,12,661.88,Mechanic,Hiking,TRUE
Betty,Sullivan,female,80,7/14/2023,2,103.78,Barber,Running,FALSE
Brandon,Lee,male,54,4/6/2019,19,448.04,Librarian,Photography,FALSE
Megan,Little,female,50,11/14/2018,9,330.6,Chef,Sewing,FALSE
Anne,Dunn,female,19,10/11/2022,16,522.74,Architect,Other,FALSE
Lance,Gray,male,26,4/29/2020,10,727.24,Artist,Writing,FALSE
Alicia,Edwards,female,31,4/9/2021,3,650.15,Clerk,Reading,TRUE
Nichole,Clay,female,38,3/14/2020,17,30.94,Athlete,Cycling,FALSE
Trevor,Ball,male,42,2/2/2020,4,115.8,Unkown,Playing sports,FALSE
Amy,Bailey,female,22,1/14/2022,13,169.49,Lawyer,Cycling,FALSE
Richard,Arnold,male,75,7/26/2023,15,6.34,Unemployed,Collecting,FALSE
Regina,Wilson,female,74,5/7/2021,9,944.35,Clerk,Singing,FALSE
Dennis,Green,male,79,6/30/2020,17,489.54,Student,Baking,FALSE
Paul,Terry,male,57,12/27/2019,9,74.43,Tailor,Dancing,TRUE
Amy,Carter,female,74,2/18/2023,0,561.46,Mechanic,Meditation,FALSE
Annette,Lawrence,female,57,12/14/2019,16,274.4,Hairdresser,Swimming,FALSE
William,Contreras,male,38,10/20/2022,16,159.85,Doctor,Hunting,FALSE
Sandra,Rogers,female,40,9/5/2020,17,605.26,Teacher,Playing video games,FALSE
Danielle,Ware,female,38,7/29/2019,3,944.44,Polic,Cooking,FALSE
Tiffany,Sanchez,female,43,1/1/2020,2,527.13,Student,Reading,FALSE
Robert,David,male,76,5/8/2021,0,62.41,Lawyer,Baking,FALSE
Cynthia,Smith,female,35,5/18/2023,10,516.11,Nurse,Gardening,TRUE
Benjamin,Beck,male,21,3/29/2023,9,748.94,Farmer,Playing sports,TRUE
Debra,Avila,female,66,4/5/2019,14,888.2,Hairdresser,Gardening,TRUE
Molly,Carpenter,female,45,11/25/2018,19,535.47,Unemployed,Meditation,FALSE
Richard,Blackwell,male,54,9/30/2020,2,457,Polic,Fishing,TRUE
Casey,Grimes,female,24,8/7/2019,11,956.16,Housewife,Photography,TRUE
Yesenia,Calhoun,female,41,3/5/2022,20,608.08,Doctor,Drawing,TRUE
Jennifer,Morris,female,77,10/16/2020,5,890.18,Receptionist,Painting,TRUE
Lauren,Owen,female,69,2/27/2019,13,984.2,Engineer,Traveling,FALSE
Cheryl,Torres,female,25,10/19/2022,10,105.49,Mechanic,Singing,FALSE
Gregory,Gomez,male,75,7/22/2019,10,937.97,Unkown,Running,FALSE
Angela,Hughes,female,43,12/5/2019,19,25.23,Accountant,Playing video games,FALSE
Tracy,Evans,female,52,4/20/2019,1,606.1,Clerk,Sewing,FALSE
Melissa,Proctor,female,31,7/14/2023,14,372.98,Waitress,Playing video games,TRUE
Paul,Lee,male,80,9/6/2021,18,187.18,Nurse,Meditation,FALSE
Gerald,Morgan,male,55,3/29/2022,12,194.48,Chef,Painting,TRUE
Casey,Robbins,male,26,8/11/2019,12,798.43,Doctor,Gardening,FALSE
Scott,Frank,male,34,9/17/2022,13,109.39,Farmer,Playing sports,FALSE
Christopher,Anderson,male,27,7/27/2020,17,346.45,Farmer,Reading,FALSE
Kimberly,Burnett,female,55,12/14/2021,11,727.76,Janitor,Playing musical instruments,FALSE
Danny,Nixon,male,48,9/15/2018,7,985.05,Carpenter,Photography,FALSE
Tanya,Cooper,female,36,3/22/2019,18,73.95,Waitress,Playing video games,FALSE
Paula,Lee,female,24,5/15/2019,10,351.17,Dentist,Hunting,FALSE
Christopher,Hernandez,male,42,3/28/2020,18,327.31,Housewife,Playing musical instruments,FALSE
Alison,Banks,female,37,4/11/2022,11,190.76,Scientist,Hunting,FALSE
Richard,Smith,male,38,7/6/2020,15,382.81,Security Guard,Cycling,TRUE
Alison,Fox,female,62,9/22/2020,9,363.27,Lawyer,Meditation,TRUE
Kenneth,Blake,male,20,1/8/2020,18,263.79,Polic,Cooking,TRUE
Jose,White,male,24,2/22/2022,0,15.73,Polic,Drawing,FALSE
Bryan,Torres,male,36,9/6/2019,16,413.85,Firefighter,Other,FALSE
Sandra,Medina,female,55,10/14/2018,6,398.02,Receptionist,Playing musical instruments,FALSE
Heather,Price,female,36,12/27/2020,19,413.07,Tailor,Cycling,FALSE
Mark,Powell,male,19,6/24/2020,6,872.71,Librarian,Singing,FALSE
Ryan,Williamson,male,25,8/12/2020,16,429.54,Firefighter,Hiking,FALSE
Richard,Brown,male,32,4/28/2019,11,320.89,Accountant,Baking,FALSE
Andrew,Baldwin,male,52,9/5/2019,18,224.21,Librarian,Reading,FALSE
Richard,Taylor,male,27,4/14/2022,5,665.17,Tailor,Playing musical instruments,FALSE
Nathaniel,Arroyo,male,67,4/24/2020,12,624.31,Artist,Singing,FALSE
Debra,Hernandez,female,36,9/18/2021,11,648.64,Baker,Singing,FALSE
Justin,Coleman,male,63,1/9/2023,2,633.51,Architect,Running,FALSE
Toni,Wilson,female,58,8/29/2019,2,691.61,Pilot,Running,FALSE
Carlos,Evans,male,55,10/28/2021,10,743.35,Architect,Swimming,FALSE
Jason,Contreras,male,62,8/5/2019,14,657.47,Waiter,Running,FALSE
